user_id,acquisition_date,last_active_date,platform_used,total_active_days,total_activity_days
272675,2024-03-02,2024-03-22,android,14,21
272676,2024-03-27,2024-04-14,android,12,19
272677,2024-03-17,2024-05-01,android,20,46
272678,2024-03-01,2024-03-12,ios,2,12
272679,2024-04-11,2024-05-01,android,21,21
272680,2024-04-21,2024-05-01,android,11,11
272681,2024-03-13,2024-03-17,android,5,5
272682,2024-03-01,2024-05-01,android,44,62
272683,2024-03-04,2024-03-30,android,14,27
272686,2024-03-16,2024-03-27,android,11,12
272687,2024-03-22,2024-03-27,android,6,6
272688,2024-03-26,2024-05-01,android,26,37
272689,2024-04-11,2024-04-24,android,10,14
272690,2024-03-01,2024-04-10,android,37,41
272691,2024-03-22,2024-03-25,android,4,4
272693,2024-04-13,2024-04-28,android,10,16
272694,2024-03-01,2024-05-01,android,58,62
272695,2024-03-01,2024-03-29,android,18,29
272696,2024-03-02,2024-04-11,android,36,41
272697,2024-03-23,2024-03-25,android,2,3
272698,2024-03-17,2024-03-17,android,1,1
272699,2024-03-27,2024-03-27,android,1,1
272702,2024-04-09,2024-04-22,android,14,14
272703,2024-03-14,2024-04-22,android,33,40
272704,2024-03-18,2024-04-20,android,18,34
272705,2024-03-02,2024-03-18,android,10,17
272706,2024-03-31,2024-04-10,android,8,11
272707,2024-04-06,2024-05-01,ios,21,26
272708,2024-03-20,2024-04-15,android,17,27
272709,2024-04-01,2024-05-01,android,24,31
272711,2024-03-10,2024-03-25,android,14,16
272712,2024-03-28,2024-04-20,android,11,24
272713,2024-04-01,2024-04-08,android,8,8
272714,2024-03-07,2024-04-29,android,31,54
272716,2024-04-22,2024-04-22,android,1,1
272718,2024-03-08,2024-04-26,android,34,50
272720,2024-03-12,2024-03-16,android,5,5
272721,2024-03-03,2024-05-01,android,58,60
272722,2024-03-05,2024-04-14,android,24,41
272723,2024-03-29,2024-04-05,android,8,8
272724,2024-04-09,2024-04-20,android,11,12
272725,2024-03-02,2024-04-29,android,28,59
272726,2024-03-31,2024-03-31,ios,1,1
272728,2024-03-18,2024-03-27,android,10,10
272729,2024-03-07,2024-04-18,android,5,43
272730,2024-03-01,2024-04-27,android,14,58
272732,2024-03-20,2024-04-30,android,23,42
272733,2024-03-16,2024-04-27,android,22,43
272734,2024-04-18,2024-04-25,android,8,8
272735,2024-03-06,2024-03-27,android,21,22
272736,2024-03-13,2024-04-06,android,17,25
272737,2024-03-09,2024-04-30,android,5,53
272738,2024-03-16,2024-03-28,android,10,13
272739,2024-03-19,2024-04-25,ios,19,38
272740,2024-03-25,2024-04-01,android,6,8
272741,2024-03-01,2024-05-01,android,39,62
272742,2024-04-01,2024-04-07,ios,4,7
272743,2024-03-01,2024-04-29,android,45,60
272745,2024-03-23,2024-04-20,ios,24,29
272746,2024-03-29,2024-04-25,android,18,28
272747,2024-03-09,2024-04-18,ios,33,41
272748,2024-04-23,2024-04-23,android,1,1
272749,2024-03-03,2024-05-01,ios,56,60
272751,2024-03-01,2024-04-06,android,21,37
272752,2024-03-06,2024-04-25,ios,11,51
272753,2024-03-09,2024-04-13,android,32,36
272755,2024-04-04,2024-04-26,ios,9,23
272756,2024-03-21,2024-04-11,android,14,22
272757,2024-03-12,2024-05-01,android,33,51
272759,2024-04-05,2024-04-27,android,21,23
272760,2024-03-05,2024-05-01,android,11,58
272762,2024-03-24,2024-03-28,android,4,5
272764,2024-03-05,2024-03-26,android,18,22
272765,2024-03-28,2024-04-30,android,11,34
272766,2024-04-03,2024-04-13,android,11,11
272768,2024-04-15,2024-04-29,android,12,15
272770,2024-03-04,2024-03-04,ios,1,1
272771,2024-03-01,2024-03-06,android,5,6
272772,2024-04-19,2024-04-25,android,6,7
272773,2024-03-26,2024-03-28,android,3,3
272776,2024-03-17,2024-04-29,android,10,44
272777,2024-03-10,2024-03-20,android,7,11
272780,2024-04-02,2024-04-14,android,13,13
